id,price,log1_price,latitude,longitude,distance_to_city_center_km,neighbourhood_cleansed,property_type_clean,room_type,accommodates,bedrooms,bedrooms_missing,beds,beds_missing,bathroom_count,bathroom_privacy,bathroom_information_missing,has_license,amenity_count,has_wifi,has_kitchen,has_parking,has_washer,has_air_conditioning,has_workspace,has_balcony,has_dryer,has_elevator,has_smoke_alarm,allows_pets
2606617,126.0,4.844187086458591,48.09794,11.53945,5.135246009189434,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,apartment_like,Entire home/apt,2,1.0,0,1.0,0,1.5,unspecified,0,0,26,1,1,1,0,0,1,1,0,1,1,0
2662348,69.0,4.248495242049359,48.17276,11.59031,4.085791468255949,Schwabing-Freimann,apartment_like,Private room,2,1.0,0,1.0,0,1.5,unspecified,0,0,24,1,1,1,1,0,1,1,1,1,1,1
2699009,99.0,4.605170185988092,48.14783,11.56503,1.3952841231275723,Maxvorstadt,apartment_like,Private room,2,1.0,0,0.0,0,1.0,private,0,0,20,1,0,0,0,0,1,0,0,1,1,0
2806219,280.0,5.638354669333745,48.13034,11.5441,2.4539693258575292,Schwanthalerhöhe,apartment_like,Entire home/apt,3,1.0,0,4.0,0,2.5,unspecified,0,0,44,1,1,1,1,0,0,1,1,1,1,0
2861806,40.0,3.713572066704308,48.15841,11.65024,6.022004491318534,Bogenhausen,house_like,Private room,1,1.0,0,1.0,0,0.5,unspecified,0,0,6,1,0,1,0,0,0,0,0,0,0,0
2931704,310.0,5.739792912179234,48.17871,11.49177,7.722580587985052,Moosach,house_like,Entire home/apt,4,2.0,0,2.0,0,1.0,unspecified,0,0,48,1,1,1,0,0,1,1,0,0,1,0
2940196,72.0,4.290459441148391,48.11327,11.53326,4.1217378256438195,Sendling-Westpark,apartment_like,Entire home/apt,3,2.0,0,2.0,0,1.0,unspecified,0,0,25,1,1,1,1,0,1,0,0,0,1,0
2942423,130.0,4.875197323201151,48.12808,11.61769,3.3015995278223924,Berg am Laim,apartment_like,Entire home/apt,2,1.0,0,1.0,0,1.0,unspecified,0,0,38,1,1,1,1,0,1,1,0,0,1,0
2949717,170.0,5.14166355650266,48.12869,11.60489,2.3896205797660635,Au-Haidhausen,apartment_like,Private room,2,1.0,0,1.0,0,1.0,shared,0,0,22,1,1,1,1,0,0,0,0,1,1,0
2981449,175.0,5.170483995038151,48.13034,11.54422,2.445530949900203,Schwanthalerhöhe,apartment_like,Private room,2,1.0,0,1.0,0,1.0,shared,0,0,25,1,1,0,1,0,0,1,0,1,1,0
2987044,191.0,5.2574953720277815,48.12551,11.59498,1.9608703870660338,Au-Haidhausen,apartment_like,Entire home/apt,2,1.0,0,1.0,0,1.0,unspecified,0,0,7,1,1,1,1,0,1,0,0,0,0,0
3025064,196.0,5.2832037287379885,48.12759,11.56183,1.484996795877153,Ludwigsvorstadt-Isarvorstadt,apartment_like,Private room,2,1.0,0,1.0,0,2.0,shared,0,0,25,1,1,0,1,0,0,1,0,1,1,0
3036581,147.0,4.997212273764115,48.15771,11.54248,3.3301541430733788,Neuhausen-Nymphenburg,apartment_like,Entire home/apt,2,1.0,0,1.0,0,1.5,unspecified,0,0,33,1,1,0,1,0,1,0,0,0,1,0
3054425,43.0,3.784189633918261,48.1451,11.46088,8.543586290033964,Pasing-Obermenzing,apartment_like,Private room,1,1.0,0,1.0,0,1.0,shared,0,1,10,0,1,0,1,0,0,0,1,0,0,0
3169487,111.0,4.718498871295094,48.1569,11.56361,2.3412624339884958,Maxvorstadt,apartment_like,Private room,1,1.0,0,1.0,0,1.5,shared,0,0,31,1,1,1,1,0,1,0,0,0,1,0
3189113,86.0,4.465908118654584,48.10289,11.61862,4.998186246852059,Ramersdorf-Perlach,house_like,Private room,2,1.0,0,1.0,0,1.0,shared,0,0,27,1,0,1,0,0,1,0,0,0,1,0
3266640,280.0,5.638354669333745,48.16086,11.58029,2.635534156593804,Schwabing-West,apartment_like,Entire home/apt,2,1.0,0,1.0,0,1.0,unspecified,0,0,19,1,1,1,1,0,0,0,1,1,1,0
3375898,105.0,4.663439094112067,48.11282,11.55173,3.248860268697248,Sendling,apartment_like,Entire home/apt,3,1.0,0,2.0,0,1.0,unspecified,0,0,30,1,1,1,1,1,0,1,1,1,1,0
3419577,145.0,4.983606621708336,48.12231,11.56618,1.811160068070115,Ludwigsvorstadt-Isarvorstadt,apartment_like,Entire home/apt,4,1.0,0,1.0,0,1.0,unspecified,0,0,25,1,1,1,1,0,0,0,0,0,1,0
3500931,1378.0,7.229113877793302,48.11622,11.5824,2.4089247023295814,Obergiesing,apartment_like,Entire home/apt,4,2.0,0,3.0,0,1.0,unspecified,0,0,28,1,1,1,1,0,0,0,1,1,1,0
3531823,399.0,5.991464547107982,48.12344,11.536,3.312157767673719,Sendling-Westpark,apartment_like,Entire home/apt,2,1.0,0,1.0,0,1.0,unspecified,0,0,36,0,1,1,1,0,1,1,0,1,1,0
3591390,175.0,5.170483995038151,48.09618,11.54285,5.180814022567401,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,apartment_like,Entire home/apt,2,1.0,0,1.0,0,1.0,unspecified,0,0,27,1,1,1,1,0,0,0,0,0,1,1
3633225,225.0,5.420534999272286,48.16385,11.57062,2.964970873182974,Schwabing-West,apartment_like,Entire home/apt,5,3.0,0,3.0,0,1.0,unspecified,0,0,51,1,1,1,1,1,1,0,0,0,1,0
3652758,119.0,4.787491742782046,48.16258,11.57817,2.8094219192313257,Schwabing-West,apartment_like,Private room,1,1.0,0,1.0,0,1.0,shared,0,0,33,1,1,0,1,0,0,0,0,1,1,1
3662438,65.0,4.189654742026425,48.12901,11.61989,3.4274877610657826,Berg am Laim,apartment_like,Private room,2,1.0,0,1.0,0,1.0,shared,0,0,36,1,1,1,1,0,1,1,0,0,1,0
3692510,31.0,3.4657359027997265,48.18007,11.5895,4.86012357423763,Schwabing-Freimann,house_like,Private room,1,1.0,0,1.0,0,1.0,unspecified,0,0,10,1,1,0,1,0,0,0,1,1,1,0
3795594,153.0,5.0369526024136295,48.117095947265625,11.65618896484375,6.403572214704469,Tudering-Riem,apartment_like,Entire home/apt,4,1.0,0,2.0,0,1.0,unspecified,0,0,33,1,1,1,0,0,0,0,0,0,1,0
3814929,292.0,5.680172609017068,48.15281,11.57655,1.717713130221023,Maxvorstadt,apartment_like,Entire home/apt,4,2.0,0,3.0,0,1.0,unspecified,0,0,26,1,1,0,0,0,0,0,0,0,1,0
3848277,166.0,5.117993812416755,48.14936,11.55392,2.0794322710534363,Maxvorstadt,apartment_like,Private room,2,1.0,0,1.0,0,1.0,shared,0,0,16,1,1,0,0,0,0,0,0,0,1,0
3854294,202.0,5.313205979041787,48.13076,11.60404,2.2464438533056197,Au-Haidhausen,apartment_like,Entire home/apt,2,1.0,0,1.0,0,1.0,unspecified,0,0,37,1,1,1,0,0,1,0,0,0,1,0
3867968,80.0,4.394449154672439,48.15909,11.58793,2.5857773303770406,Schwabing-Freimann,apartment_like,Private room,1,1.0,0,1.0,0,1.0,shared,0,0,21,1,1,0,1,0,0,0,0,0,1,0
